pos=IN pos:-1=null lemma=uc whascl=true sprel=dep roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=false wminlen:4=false wminlen:5=false whasdigit=false wprefix:1=U wprefix:2=UC wprefix:3=UC wprefix:4=UC wsuffix:1=C wsuffix:2=UC wsuffix:3=UC wsuffix:4=UC roleInLink=NONE
pos=CD pos:-1=IN lemma=1 whascl=false sprel=pobj roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=false wminlen:3=false wminlen:4=false wminlen:5=false whasdigit=true wprefix:1=1 wprefix:2=1 wprefix:3=1 wprefix:4=1 wsuffix:1=1 wsuffix:2=1 wsuffix:3=1 wsuffix:4=1 roleInLink=NONE
pos=: pos:-1=CD lemma=- whascl=false sprel=null roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=false wminlen:3=false wminlen:4=false wminlen:5=false whasdigit=false wprefix:1=- wprefix:2=- wprefix:3=- wprefix:4=- wsuffix:1=- wsuffix:2=- wsuffix:3=- wsuffix:4=- roleInLink=NONE
pos=NNP pos:-1=: lemma=Process whascl=true sprel=nn roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true whasdigit=false wprefix:1=P wprefix:2=Pr wprefix:3=Pro wprefix:4=Proc wsuffix:1=s wsuffix:2=ss wsuffix:3=ess wsuffix:4=cess roleInLink=NONE
pos=NNP pos:-1=NNP lemma=Sale whascl=true sprel=null roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false whasdigit=false wprefix:1=S wprefix:2=Sa wprefix:3=Sal wprefix:4=Sale wsuffix:1=e wsuffix:2=le wsuffix:3=ale wsuffix:4=Sale roleInLink=NONE
pos=NN pos:-1=null lemma=brief whascl=true sprel=nn roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true whasdigit=false wprefix:1=B wprefix:2=Br wprefix:3=Bri wprefix:4=Brie wsuffix:1=f wsuffix:2=ef wsuffix:3=ief wsuffix:4=rief roleInLink=NONE
pos=NN pos:-1=NN lemma=description whascl=true sprel=null roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true whasdigit=false wprefix:1=D wprefix:2=De wprefix:3=Des wprefix:4=Desc wsuffix:1=n wsuffix:2=on wsuffix:3=ion wsuffix:4=tion roleInLink=NONE
pos=IN pos:-1=null lemma=at whascl=true sprel=null roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=false wminlen:4=false wminlen:5=false whasdigit=false wprefix:1=A wprefix:2=At wprefix:3=At wprefix:4=At wsuffix:1=t wsuffix:2=At wsuffix:3=At wsuffix:4=At roleInLink=NONE
pos=DT pos:-1=IN lemma=the whascl=false sprel=det roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=false wminlen:5=false whasdigit=false wprefix:1=t wprefix:2=th wprefix:3=the wprefix:4=the wsuffix:1=e wsuffix:2=he wsuffix:3=the wsuffix:4=the roleInLink=NONE
pos=NNP pos:-1=DT lemma=Cash whascl=true sprel=nn roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false whasdigit=false wprefix:1=C wprefix:2=Ca wprefix:3=Cas wprefix:4=Cash wsuffix:1=h wsuffix:2=sh wsuffix:3=ash wsuffix:4=Cash roleInLink=NONE
pos=NNP pos:-1=NNP lemma=Desk whascl=true sprel=null roleInLink:-1=NONE roleInLink:-2=NONE wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false whasdigit=false wprefix:1=D wprefix:2=De wprefix:3=Des wprefix:4=Desk wsuffix:1=k wsuffix:2=sk wsuffix:3=esk wsuffix:4=Desk roleInLink=NONE
