lemma=uc pos=IN pos:1=CD whascl=true whasdigit=false sprel=dep sppos=NNP wminlen:2=true wminlen:3=false wminlen:4=false wminlen:5=false wminlen:6=false wprefix:1=U wprefix:2=UC wprefix:3=UC wprefix:4=UC wsuffix:2=UC wsuffix:3=UC wsuffix:4=UC linktype=none
lemma=1 pos=CD pos:1=: whascl=false whasdigit=true sprel=pobj sppos=IN wminlen:2=false wminlen:3=false wminlen:4=false wminlen:5=false wminlen:6=false wprefix:1=1 wprefix:2=1 wprefix:3=1 wprefix:4=1 wsuffix:2=1 wsuffix:3=1 wsuffix:4=1 linktype=none
lemma=- pos=: pos:1=NNP whascl=false whasdigit=false sprel=null sppos=null wminlen:2=false wminlen:3=false wminlen:4=false wminlen:5=false wminlen:6=false wprefix:1=- wprefix:2=- wprefix:3=- wprefix:4=- wsuffix:2=- wsuffix:3=- wsuffix:4=- linktype=none
lemma=Process pos=NNP pos:1=NNP whascl=true whasdigit=false sprel=nn sppos=NNP wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true wminlen:6=true wprefix:1=P wprefix:2=Pr wprefix:3=Pro wprefix:4=Proc wsuffix:2=ss wsuffix:3=ess wsuffix:4=cess linktype=none
lemma=Sale pos=NNP pos:1=null whascl=true whasdigit=false sprel=null sppos=null wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false wminlen:6=false wprefix:1=S wprefix:2=Sa wprefix:3=Sal wprefix:4=Sale wsuffix:2=le wsuffix:3=ale wsuffix:4=Sale linktype=none
lemma=brief pos=NN pos:1=NN whascl=true whasdigit=false sprel=nn sppos=NN wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true wminlen:6=false wprefix:1=B wprefix:2=Br wprefix:3=Bri wprefix:4=Brie wsuffix:2=ef wsuffix:3=ief wsuffix:4=rief linktype=none
lemma=description pos=NN pos:1=null whascl=true whasdigit=false sprel=null sppos=null wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=true wminlen:6=true wprefix:1=D wprefix:2=De wprefix:3=Des wprefix:4=Desc wsuffix:2=on wsuffix:3=ion wsuffix:4=tion linktype=none
lemma=at pos=IN pos:1=DT whascl=true whasdigit=false sprel=null sppos=null wminlen:2=true wminlen:3=false wminlen:4=false wminlen:5=false wminlen:6=false wprefix:1=A wprefix:2=At wprefix:3=At wprefix:4=At wsuffix:2=At wsuffix:3=At wsuffix:4=At linktype=none
lemma=the pos=DT pos:1=NNP whascl=false whasdigit=false sprel=det sppos=NNP wminlen:2=true wminlen:3=true wminlen:4=false wminlen:5=false wminlen:6=false wprefix:1=t wprefix:2=th wprefix:3=the wprefix:4=the wsuffix:2=he wsuffix:3=the wsuffix:4=the linktype=none
lemma=Cash pos=NNP pos:1=NNP whascl=true whasdigit=false sprel=nn sppos=NNP wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false wminlen:6=false wprefix:1=C wprefix:2=Ca wprefix:3=Cas wprefix:4=Cash wsuffix:2=sh wsuffix:3=ash wsuffix:4=Cash linktype=none
lemma=Desk pos=NNP pos:1=DT whascl=true whasdigit=false sprel=null sppos=null wminlen:2=true wminlen:3=true wminlen:4=true wminlen:5=false wminlen:6=false wprefix:1=D wprefix:2=De wprefix:3=Des wprefix:4=Desk wsuffix:2=sk wsuffix:3=esk wsuffix:4=Desk linktype=none
